name,hp,attack,defense,sp_attack,sp_defense,speed,catch_stat
Kabuto,30,80,90,55,45,55,45
Kabutops,60,115,105,65,70,80,45
Aerodactyl,80,105,65,60,75,130,45
Snorlax,160,110,65,65,110,30,25
Articuno,90,85,100,95,125,85,3
Zapdos,90,90,85,125,90,100,3
Moltres,90,100,90,125,85,90,3
Dratini,41,64,45,50,50,50,45
Dragonair,61,84,65,70,70,70,45
Dragonite,91,134,95,100,100,80,45
Mewtwo,106,110,90,154,90,130,3
Mew,100,100,100,100,100,100,45
Chikorita,45,49,65,49,65,45,45
Bayleef,60,62,80,63,80,60,45
Meganium,80,82,100,83,100,80,45
Cyndaquil,39,52,43,60,50,65,45
Quilava,58,64,58,80,65,80,45
Typhlosion,78,84,78,109,85,100,45
Totodile,50,65,64,44,48,43,45
Croconaw,65,80,80,59,63,58,45
Feraligatr,85,105,100,79,83,78,45
Sentret,35,46,34,35,45,20,255
Furret,85,76,64,45,55,90,90
Hoothoot,60,30,30,36,56,50,255
Noctowl,100,50,50,76,96,70,90
Ledyba,40,20,30,40,80,55,255
Ledian,55,35,50,55,110,85,90
Spinarak,40,60,40,40,40,30,255
Ariados,70,90,70,60,60,40,90
Crobat,85,90,80,70,80,130,90
Chinchou,75,38,38,56,56,67,190
Lanturn,125,58,58,76,76,67,75
Pichu,20,40,15,35,35,60,190
Cleffa,50,25,28,45,55,15,150
Igglybuff,90,30,15,40,20,15,170
Togepi,35,20,65,40,65,20,190
Togetic,55,40,85,80,105,40,75
Natu,40,50,45,70,45,70,190
Xatu,65,75,70,95,70,95,75
Mareep,55,40,40,65,45,35,235
Flaaffy,70,55,55,80,60,45,120
Ampharos,90,75,75,115,90,55,45
Bellossom,75,80,85,90,100,50,45
Marill,70,20,50,20,50,40,190
Azumarill,100,50,80,50,80,50,75
Sudowoodo,70,100,115,30,65,30,65
Politoed,90,75,75,90,100,70,45
Hoppip,35,35,40,35,55,50,255
Skiploom,55,45,50,45,65,80,120
Jumpluff,75,55,70,55,85,110,45
Aipom,55,70,55,40,55,85,45
Sunkern,30,30,30,30,30,30,235
Sunflora,75,75,55,105,85,30,120
Yanma,65,65,45,75,45,95,75
Wooper,55,45,45,25,25,15,255
Quagsire,95,85,85,65,65,35,90
Espeon,65,65,60,130,95,110,45
Umbreon,95,65,110,60,130,65,45
Murkrow,60,85,42,85,42,91,30
Slowking,95,75,80,100,110,30,70
Misdreavus,60,60,60,85,85,85,45
Unown,48,72,48,72,48,48,225
Wobbuffet,190,33,58,33,58,33,45
Girafarig,70,80,65,90,65,85,60
Pineco,50,65,90,35,35,15,190
Forretress,75,90,140,60,60,40,75
Dunsparce,100,70,70,65,65,45,190
Gligar,65,75,105,35,65,85,60
Steelix,75,85,200,55,65,30,25
Snubbull,60,80,50,40,40,30,190
Granbull,90,120,75,60,60,45,75
Qwilfish,65,95,75,55,55,85,45
Scizor,70,130,100,55,80,65,25
Shuckle,20,10,230,10,230,5,190
Heracross,80,125,75,40,95,85,45
Sneasel,55,95,55,35,75,115,60
Teddiursa,60,80,50,50,50,40,120
Ursaring,90,130,75,75,75,55,60
Slugma,40,40,40,70,40,20,190
Magcargo,50,50,120,80,80,30,75
Swinub,50,50,40,30,30,50,225
Piloswine,100,100,80,60,60,50,75
Corsola,55,55,85,65,85,35,60
Remoraid,35,65,35,65,35,65,190
Octillery,75,105,75,105,75,45,75
Delibird,45,55,45,65,45,75,45
Mantine,65,40,70,80,140,70,25
Skarmory,65,80,140,40,70,70,25
Houndour,45,60,30,80,50,65,120
Houndoom,75,90,50,110,80,95,45
Kingdra,75,95,95,95,95,85,45
Phanpy,90,60,60,40,40,40,120
Donphan,90,120,120,60,60,50,60
Porygon2,85,80,90,105,95,60,45
Stantler,73,95,62,85,65,85,45
Smeargle,55,20,35,20,45,75,45
Tyrogue,35,35,35,35,35,35,75
Hitmontop,50,95,95,35,110,70,45
Smoochum,45,30,15,85,65,65,45
Elekid,45,63,37,65,55,95,45
Magby,45,75,37,70,55,83,45
Miltank,95,80,105,40,70,100,45
Blissey,255,10,10,75,135,55,30
Raikou,90,85,75,115,100,115,3
Entei,115,115,85,90,75,100,3
Suicune,100,75,115,90,115,85,3
Larvitar,50,64,50,45,50,41,45
Pupitar,70,84,70,65,70,51,45
Tyranitar,100,134,110,95,100,61,45
Lugia,106,90,130,90,154,110,3
Ho-Oh,106,130,90,110,154,90,3
Celebi,100,100,100,100,100,100,45
Treecko,40,45,35,65,55,70,45
Grovyle,50,65,45,85,65,95,45
Sceptile,70,85,65,105,85,120,45
Torchic,45,60,40,70,50,45,45
Combusken,60,85,60,85,60,55,45
Blaziken,80,120,70,110,70,80,45
Mudkip,50,70,50,50,50,40,45
Marshtomp,70,85,70,60,70,50,45
Swampert,100,110,90,85,90,60,45
Poochyena,35,55,35,30,30,35,255
Mightyena,70,90,70,60,60,70,127
Zigzagoon,38,30,41,30,41,60,255
Linoone,78,70,61,50,61,100,90
Wurmple,45,45,35,20,30,20,255
Silcoon,50,35,55,25,25,15,120
Beautifly,60,70,50,90,50,65,45
Cascoon,50,35,55,25,25,15,120
Dustox,60,50,70,50,90,65,45
Lotad,40,30,30,40,50,30,255
Lombre,60,50,50,60,70,50,120
Ludicolo,80,70,70,90,100,70,45
Seedot,40,40,50,30,30,30,255
Nuzleaf,70,70,40,60,40,60,120
Shiftry,90,100,60,90,60,80,45
Taillow,40,55,30,30,30,85,200
Swellow,60,85,60,50,50,125,45
Wingull,40,30,30,55,30,85,190
Pelipper,60,50,100,85,70,65,45
Ralts,28,25,25,45,35,40,235
Kirlia,38,35,35,65,55,50,120
Gardevoir,68,65,65,125,115,80,45
Surskit,40,30,32,50,52,65,200
Masquerain,70,60,62,80,82,60,75
Shroomish,60,40,60,40,60,35,255
Breloom,60,130,80,60,60,70,90
Slakoth,60,60,60,35,35,30,255
Vigoroth,80,80,80,55,55,90,120
Slaking,150,160,100,95,65,100,45
Nincada,31,45,90,30,30,40,255
Ninjask,61,90,45,50,50,160,120
Shedinja,1,90,45,30,30,40,45
Whismur,64,51,23,51,23,28,190
Loudred,84,71,43,71,43,48,120
Exploud,104,91,63,91,63,68,45
Makuhita,72,60,30,20,30,25,180
Hariyama,144,120,60,40,60,50,200
Azurill,50,20,40,20,40,20,150
Nosepass,30,45,135,45,90,30,255
Skitty,50,45,45,35,35,50,255
Delcatty,70,65,65,55,55,70,60
Sableye,50,75,75,65,65,50,45
Mawile,50,85,85,55,55,50,45
Aron,50,70,100,40,40,30,180
Lairon,60,90,140,50,50,40,90
Aggron,70,110,180,60,60,50,45
Meditite,30,40,55,40,55,60,180
Medicham,60,60,75,60,75,80,90
Electrike,40,45,40,65,40,65,120
Manectric,70,75,60,105,60,105,45
Plusle,60,50,40,85,75,95,200
Minun,60,40,50,75,85,95,200
Volbeat,65,73,55,47,75,85,150
Illumise,65,47,55,73,75,85,150
Roselia,50,60,45,100,80,65,150
Gulpin,70,43,53,43,53,40,225
Swalot,100,73,83,73,83,55,75
Carvanha,45,90,20,65,20,65,225
Sharpedo,70,120,40,95,40,95,60
Wailmer,130,70,35,70,35,60,125
Wailord,170,90,45,90,45,60,60
Numel,60,60,40,65,45,35,255
Camerupt,70,100,70,105,75,40,150
Torkoal,70,85,140,85,70,20,90
Spoink,60,25,35,70,80,60,255
Grumpig,80,45,65,90,110,80,60
Spinda,60,60,60,60,60,60,255
Trapinch,45,100,45,45,45,10,255
Vibrava,50,70,50,50,50,70,120
Flygon,80,100,80,80,80,100,45
Cacnea,50,85,40,85,40,35,190
Cacturne,70,115,60,115,60,55,60
Swablu,45,40,60,40,75,50,255
Altaria,75,70,90,70,105,80,45
Zangoose,73,115,60,60,60,90,90
Seviper,73,100,60,100,60,65,90
Lunatone,70,55,65,95,85,70,45
Solrock,70,95,85,55,65,70,45
Barboach,50,48,43,46,41,60,190
Whiscash,110,78,73,76,71,60,75
Corphish,43,80,65,50,35,35,205
Crawdaunt,63,120,85,90,55,55,155
Baltoy,40,40,55,40,70,55,255
Claydol,60,70,105,70,120,75,90
Lileep,66,41,77,61,87,23,45
Cradily,86,81,97,81,107,43,45
Anorith,45,95,50,40,50,75,45
Armaldo,75,125,100,70,80,45,45
Feebas,20,15,20,10,55,80,255
Milotic,95,60,79,100,125,81,60
Castform,70,70,70,70,70,70,45
Kecleon,60,90,70,60,120,40,200
Shuppet,44,75,35,63,33,45,225
Banette,64,115,65,83,63,65,45
Duskull,20,40,90,30,90,25,190
Dusclops,40,70,130,60,130,25,90
Tropius,99,68,83,72,87,51,200
Chimecho,65,50,70,95,80,65,45
Absol,65,130,60,75,60,75,30
Wynaut,95,23,48,23,48,23,125
Snorunt,50,50,50,50,50,50,190
Glalie,80,80,80,80,80,80,75
Spheal,70,40,50,55,50,25,255
Sealeo,90,60,70,75,70,45,120
Walrein,110,80,90,95,90,65,45
Clamperl,35,64,85,74,55,32,255
Huntail,55,104,105,94,75,52,60
Gorebyss,55,84,105,114,75,52,60
Relicanth,100,90,130,45,65,55,25
Luvdisc,43,30,55,40,65,97,225
Bagon,45,75,60,40,30,50,45
Shelgon,65,95,100,60,50,50,45
Salamence,95,135,80,110,80,100,45
Beldum,40,55,80,35,60,30,3
Metang,60,75,100,55,80,50,3
Metagross,80,135,130,95,90,70,3
Regirock,80,100,200,50,100,50,3
Regice,80,50,100,100,200,50,3
Registeel,80,75,150,75,150,50,3
Latias,80,80,90,110,130,110,3
Latios,80,90,80,130,110,110,3
Kyogre,100,100,90,150,140,90,3
Groudon,100,150,140,100,90,90,3
Rayquaza,105,150,90,150,90,95,3
Jirachi,100,100,100,100,100,100,3
Deoxys,50,150,50,150,50,150,3
Turtwig,55,68,64,45,55,31,45
Grotle,75,89,85,55,65,36,45
Torterra,95,109,105,75,85,56,45
Chimchar,44,58,44,58,44,61,45
Monferno,64,78,52,78,52,81,45
Infernape,76,104,71,104,71,108,45
Piplup,53,51,53,61,56,40,45
Prinplup,64,66,68,81,76,50,45
Empoleon,84,86,88,111,101,60,45
Starly,40,55,30,30,30,60,255
Staravia,55,75,50,40,40,80,120
Staraptor,85,120,70,50,50,100,45
Bidoof,59,45,40,35,40,31,255
Bibarel,79,85,60,55,60,71,127
Kricketot,37,25,41,25,41,25,255
Kricketune,77,85,51,55,51,65,45
Shinx,45,65,34,40,34,45,235
Luxio,60,85,49,60,49,60,120
Luxray,80,120,79,95,79,70,45
Budew,40,30,35,50,70,55,255
Roserade,60,70,55,125,105,90,75
Cranidos,67,125,40,30,30,58,45
Rampardos,97,165,60,65,50,58,45
Shieldon,30,42,118,42,88,30,45
Bastiodon,60,52,168,47,138,30,45
Burmy,40,29,45,29,45,36,120
Wormadam,60,59,85,79,105,36,45
Mothim,70,94,50,94,50,66,45
Combee,30,30,42,30,42,70,120
Vespiquen,70,80,102,80,102,40,45
Pachirisu,60,45,70,45,90,95,200
Buizel,55,65,35,60,30,85,190
Floatzel,85,105,55,85,50,115,75
Cherubi,45,35,45,62,53,35,190
Cherrim,70,60,70,87,78,85,75
Shellos,76,48,48,57,62,34,190
Gastrodon,111,83,68,92,82,39,75
Ambipom,75,100,66,60,66,115,45
Drifloon,90,50,34,60,44,70,125
Drifblim,150,80,44,90,54,80,60
Buneary,55,66,44,44,56,85,190
Lopunny,65,76,84,54,96,105,60
Mismagius,60,60,60,105,105,105,45
Honchkrow,100,125,52,105,52,71,30
Glameow,49,55,42,42,37,85,190
Purugly,71,82,64,64,59,112,75
Chingling,45,30,50,65,50,45,120
Stunky,63,63,47,41,41,74,225
Skuntank,103,93,67,71,61,84,60
Bronzor,57,24,86,24,86,23,255
Bronzong,67,89,116,79,116,33,90
Bonsly,42,40,92,12,52,18,255
Mime Jr.,20,25,45,70,90,60,145
Happiny,100,5,5,15,65,30,130
Chatot,76,65,45,92,42,91,30
Spiritomb,50,92,108,92,108,35,100
Gible,58,70,45,40,45,42,45
Gabite,68,90,65,50,55,82,45
Garchomp,108,130,95,80,85,102,45
Munchlax,135,85,40,40,85,5,50
Riolu,40,70,40,35,40,60,75
Lucario,70,110,70,115,70,90,45
Hippopotas,68,72,78,38,42,32,140
Hippowdon,108,112,118,68,72,47,60
Skorupi,40,50,90,30,55,65,120
Drapion,70,90,110,60,75,95,45
Croagunk,48,61,40,61,40,50,140
Toxicroak,83,106,65,86,65,85,75
Carnivine,74,100,72,90,72,46,200
Finneon,49,49,56,49,61,66,190
Lumineon,69,69,76,69,86,91,75
Mantyke,45,20,50,60,120,50,25
Snover,60,62,50,62,60,40,120
Abomasnow,90,92,75,92,85,60,60
Weavile,70,120,65,45,85,125,45
Magnezone,70,70,115,130,90,60,30
Lickilicky,110,85,95,80,95,50,30
Rhyperior,115,140,130,55,55,40,30
Tangrowth,100,100,125,110,50,50,30
Electivire,75,123,67,95,85,95,30
Magmortar,75,95,67,125,95,83,30
Togekiss,85,50,95,120,115,80,30
Yanmega,86,76,86,116,56,95,30
Leafeon,65,110,130,60,65,95,45
Glaceon,65,60,110,130,95,65,45
Gliscor,75,95,125,45,75,95,30
Mamoswine,110,130,80,70,60,80,50
Porygon-Z,85,80,70,135,75,90,30
Gallade,68,125,65,65,115,80,45
Probopass,60,55,145,75,150,40,60
Dusknoir,45,100,135,65,135,45,45
Froslass,70,80,70,80,70,110,75
Rotom,50,50,77,95,77,91,45
Uxie,75,75,130,75,130,95,3
Mesprit,80,105,105,105,105,80,3
Azelf,75,125,70,125,70,115,3
Dialga,100,120,120,150,100,90,3
Palkia,90,120,100,150,120,100,3
Heatran,91,90,106,130,106,77,3
Regigigas,110,160,110,80,110,100,3
Giratina,150,100,120,100,120,90,3
Cresselia,120,70,120,75,130,85,3
Phione,80,80,80,80,80,80,30
Manaphy,100,100,100,100,100,100,3
Darkrai,70,90,90,135,90,125,3
Shaymin,100,100,100,100,100,100,45
Arceus,120,120,120,120,120,120,3
Victini,100,100,100,100,100,100,3
Snivy,45,45,55,45,55,63,45
Servine,60,60,75,60,75,83,45
Serperior,75,75,95,75,95,113,45
Tepig,65,63,45,45,45,45,45
Pignite,90,93,55,70,55,55,45
Emboar,110,123,65,100,65,65,45
Oshawott,55,55,45,63,45,45,45
Dewott,75,75,60,83,60,60,45
Samurott,95,100,85,108,70,70,45
Patrat,45,55,39,35,39,42,255
Watchog,60,85,69,60,69,77,255
Lillipup,45,60,45,25,45,55,255
Herdier,65,80,65,35,65,60,120
Stoutland,85,100,90,45,90,80,45
Purrloin,41,50,37,50,37,66,255
Liepard,64,88,50,88,50,106,90
Pansage,50,53,48,53,48,64,190
Simisage,75,98,63,98,63,101,75
Pansear,50,53,48,53,48,64,190
Simisear,75,98,63,98,63,101,75
Panpour,50,53,48,53,48,64,190
Simipour,75,98,63,98,63,101,75
Munna,76,25,45,67,55,24,190
Musharna,116,55,85,107,95,29,75
Pidove,50,55,50,36,30,43,255
Tranquill,62,77,62,50,42,65,120
Unfezant,80,105,80,65,55,93,45
Blitzle,45,60,32,50,32,76,190
Zebstrika,75,100,63,80,63,116,75
Roggenrola,55,75,85,25,25,15,255
Boldore,70,105,105,50,40,20,120
Gigalith,85,135,130,60,70,25,45
Woobat,55,45,43,55,43,72,190
Swoobat,67,57,55,77,55,114,45
Drilbur,60,85,40,30,45,68,120
Excadrill,110,135,60,50,65,88,60
Audino,103,60,86,60,86,50,255
Timburr,75,80,55,25,35,35,180
Gurdurr,85,105,85,40,50,40,90
Conkeldurr,105,140,95,55,65,45,45
Tympole,50,50,40,50,40,64,255
Palpitoad,75,65,55,65,55,69,120
Seismitoad,105,85,75,85,75,74,45
Throh,120,100,85,30,85,45,45
Sawk,75,125,75,30,75,85,45
Sewaddle,45,53,70,40,60,42,255
Swadloon,55,63,90,50,80,42,120
Leavanny,75,103,80,70,70,92,45
Venipede,30,45,59,30,39,57,255
Whirlipede,40,55,99,40,79,47,120
Scolipede,60,90,89,55,69,112,45
Cottonee,40,27,60,37,50,66,190
Whimsicott,60,67,85,77,75,116,75
Petilil,45,35,50,70,50,30,190
Lilligant,70,60,75,110,75,90,75
Basculin,70,92,65,80,55,98,190
Sandile,50,72,35,35,35,65,180
Krokorok,60,82,45,45,45,74,90
Krookodile,95,117,70,65,70,92,45
Darumaka,70,90,45,15,45,50,120
Darmanitan,105,140,55,30,55,95,60
Maractus,75,86,67,106,67,60,255
Dwebble,50,65,85,35,35,55,190
Crustle,70,95,125,65,75,45,75
Scraggy,50,75,70,35,70,48,180
Scrafty,65,90,115,45,115,58,90
Sigilyph,72,58,80,103,80,97,45
Yamask,38,30,85,55,65,30,190
Cofagrigus,58,50,145,95,105,30,90
Tirtouga,54,78,103,53,45,22,45
Carracosta,74,108,133,83,65,32,45
Archen,55,112,45,74,45,70,45
Archeops,75,140,65,112,65,110,45
Trubbish,50,50,62,40,62,65,190
Garbodor,80,95,82,60,82,75,60
Zorua,40,65,40,80,40,65,75
Zoroark,60,105,60,120,60,105,45
Minccino,55,50,40,40,40,75,255
Cinccino,75,95,60,65,60,115,60
Gothita,45,30,50,55,65,45,200
Gothorita,60,45,70,75,85,55,100
Gothitelle,70,55,95,95,110,65,50
Solosis,45,30,40,105,50,20,200
Duosion,65,40,50,125,60,30,100
Reuniclus,110,65,75,125,85,30,50
Ducklett,62,44,50,44,50,55,190
Swanna,75,87,63,87,63,98,45
Vanillite,36,50,50,65,60,44,255
Vanillish,51,65,65,80,75,59,120
Vanilluxe,71,95,85,110,95,79,45
Deerling,60,60,50,40,50,75,190
Sawsbuck,80,100,70,60,70,95,75
Emolga,55,75,60,75,60,103,200
Karrablast,50,75,45,40,45,60,200
Escavalier,70,135,105,60,105,20,75
Foongus,69,55,45,55,55,15,190
Amoonguss,114,85,70,85,80,30,75
Frillish,55,40,50,65,85,40,190
Jellicent,100,60,70,85,105,60,60
Alomomola,165,75,80,40,45,65,75
Joltik,50,47,50,57,50,65,190
Galvantula,70,77,60,97,60,108,75
Ferroseed,44,50,91,24,86,10,255
Ferrothorn,74,94,131,54,116,20,90
Klink,40,55,70,45,60,30,130
Klang,60,80,95,70,85,50,60
Klinklang,60,100,115,70,85,90,30
Tynamo,35,55,40,45,40,60,190
Eelektrik,65,85,70,75,70,40,60
Eelektross,85,115,80,105,80,50,30
Elgyem,55,55,55,85,55,30,255
Beheeyem,75,75,75,125,95,40,90
Litwick,50,30,55,65,55,20,190
Lampent,60,40,60,95,60,55,90
Chandelure,60,55,90,145,90,80,45
Axew,46,87,60,30,40,57,75
Fraxure,66,117,70,40,50,67,60
Haxorus,76,147,90,60,70,97,45
Cubchoo,55,70,40,60,40,40,120
Beartic,95,110,80,70,80,50,60
Cryogonal,70,50,30,95,135,105,25
Shelmet,50,40,85,40,65,25,200
Accelgor,80,70,40,100,60,145,75
Stunfisk,109,66,84,81,99,32,75
Mienfoo,45,85,50,55,50,65,180
Mienshao,65,125,60,95,60,105,45
Druddigon,77,120,90,60,90,48,45
Golett,59,74,50,35,50,35,190
Golurk,89,124,80,55,80,55,90
Pawniard,45,85,70,40,40,60,120
Bisharp,65,125,100,60,70,70,45
Bouffalant,95,110,95,40,95,55,45
Rufflet,70,83,50,37,50,60,190
Braviary,100,123,75,57,75,80,60
Vullaby,70,55,75,45,65,60,190
Mandibuzz,110,65,105,55,95,80,60
Heatmor,85,97,66,105,66,65,90
Durant,58,109,112,48,48,109,90
Deino,52,65,50,45,50,38,45
Zweilous,72,85,70,65,70,58,45
Hydreigon,92,105,90,125,90,98,45
Larvesta,55,85,55,50,55,60,45
Volcarona,85,60,65,135,105,100,15
Cobalion,91,90,129,90,72,108,3
Terrakion,91,129,90,72,90,108,3
Virizion,91,90,72,90,129,108,3
Tornadus,79,115,70,125,80,111,3
Thundurus,79,115,70,125,80,111,3
Reshiram,100,120,100,150,120,90,3
Zekrom,100,150,120,120,100,90,3
Landorus,89,125,90,115,80,101,3
Kyurem,125,130,90,130,90,95,3
Keldeo,91,72,90,129,90,108,3
Meloetta,100,77,77,128,128,90,3
Genesect,71,120,95,120,95,99,3
Chespin,56,61,65,48,45,38,45
Quilladin,61,78,95,56,58,57,45
Chesnaught,88,107,122,74,75,64,45
Fennekin,40,45,40,62,60,60,45
Braixen,59,59,58,90,70,73,45
Delphox,75,69,72,114,100,104,45
Froakie,41,56,40,62,44,71,45
Frogadier,54,63,52,83,56,97,45
Greninja,72,95,67,103,71,122,45
Bunnelby,38,36,38,32,36,57,255
Diggersby,85,56,77,50,77,78,127
Fletchling,45,50,43,40,38,62,255
Fletchinder,62,73,55,56,52,84,120
Talonflame,78,81,71,74,69,126,45
Scatterbug,38,35,40,27,25,35,255
Spewpa,45,22,60,27,30,29,120
Vivillon,80,52,50,90,50,89,45
Litleo,62,50,58,73,54,72,220
Pyroar,86,68,72,109,66,106,65
Flabébé,44,38,39,61,79,42,225
Floette,54,45,47,75,98,52,120
Florges,78,65,68,112,154,75,45
Skiddo,66,65,48,62,57,52,200
Gogoat,123,100,62,97,81,68,45
Pancham,67,82,62,46,48,43,220
Pangoro,95,124,78,69,71,58,65
Furfrou,75,80,60,65,90,102,160
Espurr,62,48,54,63,60,68,190
Meowstic,74,48,76,83,81,104,75
Honedge,45,80,100,35,37,28,180
Doublade,59,110,150,45,49,35,90
Aegislash,60,50,150,50,150,60,45
Spritzee,78,52,60,63,65,23,200
Aromatisse,101,72,72,99,89,29,140
Swirlix,62,48,66,59,57,49,200
Slurpuff,82,80,86,85,75,72,140
Inkay,53,54,53,37,46,45,190
Malamar,86,92,88,68,75,73,80
Binacle,42,52,67,39,56,50,120
Barbaracle,72,105,115,54,86,68,45
Skrelp,50,60,60,60,60,30,225
Dragalge,65,75,90,97,123,44,55
Clauncher,50,53,62,58,63,44,225
Clawitzer,71,73,88,120,89,59,55
Helioptile,44,38,33,61,43,70,190
Heliolisk,62,55,52,109,94,109,75
Tyrunt,58,89,77,45,45,48,45
Tyrantrum,82,121,119,69,59,71,45
Amaura,77,59,50,67,63,46,45
Aurorus,123,77,72,99,92,58,45
Sylveon,95,65,65,110,130,60,45
Hawlucha,78,92,75,74,63,118,100
Dedenne,67,58,57,81,67,101,180
Carbink,50,50,150,50,150,50,60
Goomy,45,50,35,55,75,40,45
Sliggoo,68,75,53,83,113,60,45
Goodra,90,100,70,110,150,80,45
Klefki,57,80,91,80,87,75,75
